accepted,analytics,effective_points,length,number,points,story_ids,team_strength,velocity
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2013-11-11', 'feature', 0.0, 0], ['2013-11-11', 'bug', 0.0, 0], ['2013-11-11', 'chore', 0.0, 0], ['2013-11-11', 'release', 0.0, 0], ['2013-11-12', 'feature', 0.0, 0], ['2013-11-12', 'bug', 0.0, 0], ['2013-11-12', 'chore', 0.0, 0], ['2013-11-12', 'release', 0.0, 0], ['2013-11-13', 'feature', 0.0, 0], ['2013-11-13', 'bug', 0.0, 0], ['2013-11-13', 'chore', 0.0, 0], ['2013-11-13', 'release', 0.0, 0], ['2013-11-14', 'feature', 0.0, 0], ['2013-11-14', 'bug', 0.0, 0], ['2013-11-14', 'chore', 0.0, 0], ['2013-11-14', 'release', 0.0, 0], ['2013-11-15', 'feature', 0.0, 0], ['2013-11-15', 'bug', 0.0, 0], ['2013-11-15', 'chore', 0.0, 3], ['2013-11-15', 'release', 0.0, 0], ['2013-11-16', 'feature', 0.0, 0], ['2013-11-16', 'bug', 0.0, 0], ['2013-11-16', 'chore', 0.0, 0], ['2013-11-16', 'release', 0.0, 0], ['2013-11-17', 'feature', 0.0, 0], ['2013-11-17', 'bug', 0.0, 0], ['2013-11-17', 'chore', 0.0, 0], ['2013-11-17', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 3, 'rejection_rate': 0, 'kind': 'analytics', 'bugs_created': 2}",0.0,1,1,0,"[59004602, 59523646, 59778912]",0.3,10
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2013-11-18', 'feature', 0.0, 0], ['2013-11-18', 'bug', 0.0, 0], ['2013-11-18', 'chore', 0.0, 0], ['2013-11-18', 'release', 0.0, 0], ['2013-11-19', 'feature', 1.0, 2], ['2013-11-19', 'bug', 0.0, 0], ['2013-11-19', 'chore', 0.0, 1], ['2013-11-19', 'release', 0.0, 0], ['2013-11-20', 'feature', 3.0, 2], ['2013-11-20', 'bug', 0.0, 0], ['2013-11-20', 'chore', 0.0, 2], ['2013-11-20', 'release', 0.0, 0], ['2013-11-21', 'feature', 9.0, 4], ['2013-11-21', 'bug', 0.0, 0], ['2013-11-21', 'chore', 0.0, 1], ['2013-11-21', 'release', 0.0, 0], ['2013-11-22', 'feature', 0.0, 0], ['2013-11-22', 'bug', 0.0, 0], ['2013-11-22', 'chore', 0.0, 1], ['2013-11-22', 'release', 0.0, 0], ['2013-11-23', 'feature', 0.0, 0], ['2013-11-23', 'bug', 0.0, 0], ['2013-11-23', 'chore', 0.0, 0], ['2013-11-23', 'release', 0.0, 0], ['2013-11-24', 'feature', 0.0, 0], ['2013-11-24', 'bug', 0.0, 0], ['2013-11-24', 'chore', 0.0, 0], ['2013-11-24', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 13, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 4}",13.0,1,2,13,"[61008990, 61014318, 60955736, 60125634, 60860812, 58381628, 60449810, 58846844, 58846852, 59507586, 60793894, 61231410, 61313558]",1.0,10
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2013-11-25', 'feature', 0.0, 0], ['2013-11-25', 'bug', 0.0, 0], ['2013-11-25', 'chore', 0.0, 0], ['2013-11-25', 'release', 0.0, 0], ['2013-11-26', 'feature', 0.0, 0], ['2013-11-26', 'bug', 0.0, 0], ['2013-11-26', 'chore', 0.0, 0], ['2013-11-26', 'release', 0.0, 0], ['2013-11-27', 'feature', 2.0, 2], ['2013-11-27', 'bug', 0.0, 1], ['2013-11-27', 'chore', 0.0, 2], ['2013-11-27', 'release', 0.0, 0], ['2013-11-28', 'feature', 0.0, 0], ['2013-11-28', 'bug', 0.0, 0], ['2013-11-28', 'chore', 0.0, 0], ['2013-11-28', 'release', 0.0, 0], ['2013-11-29', 'feature', 0.0, 0], ['2013-11-29', 'bug', 0.0, 0], ['2013-11-29', 'chore', 0.0, 0], ['2013-11-29', 'release', 0.0, 0], ['2013-11-30', 'feature', 0.0, 0], ['2013-11-30', 'bug', 0.0, 0], ['2013-11-30', 'chore', 0.0, 0], ['2013-11-30', 'release', 0.0, 0], ['2013-12-01', 'feature', 0.0, 0], ['2013-12-01', 'bug', 0.0, 0], ['2013-12-01', 'chore', 0.0, 0], ['2013-12-01', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 5, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 2}",5.0,1,3,2,"[57964476, 61162324, 61568252, 61074790, 61084540]",0.4,10
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2013-12-02', 'feature', 1.0, 1], ['2013-12-02', 'bug', 0.0, 1], ['2013-12-02', 'chore', 0.0, 0], ['2013-12-02', 'release', 0.0, 0], ['2013-12-03', 'feature', 0.0, 0], ['2013-12-03', 'bug', 0.0, 0], ['2013-12-03', 'chore', 0.0, 2], ['2013-12-03', 'release', 0.0, 0], ['2013-12-04', 'feature', 0.0, 0], ['2013-12-04', 'bug', 0.0, 0], ['2013-12-04', 'chore', 0.0, 1], ['2013-12-04', 'release', 0.0, 0], ['2013-12-05', 'feature', 0.0, 0], ['2013-12-05', 'bug', 0.0, 0], ['2013-12-05', 'chore', 0.0, 1], ['2013-12-05', 'release', 0.0, 0], ['2013-12-06', 'feature', 8.0, 5], ['2013-12-06', 'bug', 0.0, 3], ['2013-12-06', 'chore', 0.0, 1], ['2013-12-06', 'release', 0.0, 0], ['2013-12-07', 'feature', 0.0, 0], ['2013-12-07', 'bug', 0.0, 0], ['2013-12-07', 'chore', 0.0, 0], ['2013-12-07', 'release', 0.0, 0], ['2013-12-08', 'feature', 0.0, 0], ['2013-12-08', 'bug', 0.0, 0], ['2013-12-08', 'chore', 0.0, 0], ['2013-12-08', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 15, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 5}",11.25,1,4,9,"[61412354, 61179184, 61857938, 61843830, 61179350, 61916422, 61835376, 61519862, 61442960, 61516610, 61148420, 61492730, 60884440, 58382172, 60373962]",0.8,6
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2013-12-09', 'feature', 0.0, 0], ['2013-12-09', 'bug', 0.0, 0], ['2013-12-09', 'chore', 0.0, 2], ['2013-12-09', 'release', 0.0, 0], ['2013-12-10', 'feature', 4.0, 4], ['2013-12-10', 'bug', 0.0, 0], ['2013-12-10', 'chore', 0.0, 2], ['2013-12-10', 'release', 0.0, 0], ['2013-12-11', 'feature', 7.0, 5], ['2013-12-11', 'bug', 0.0, 0], ['2013-12-11', 'chore', 0.0, 1], ['2013-12-11', 'release', 0.0, 0], ['2013-12-12', 'feature', 2.0, 1], ['2013-12-12', 'bug', 0.0, 0], ['2013-12-12', 'chore', 0.0, 2], ['2013-12-12', 'release', 0.0, 0], ['2013-12-13', 'feature', 0.0, 0], ['2013-12-13', 'bug', 0.0, 2], ['2013-12-13', 'chore', 0.0, 0], ['2013-12-13', 'release', 0.0, 0], ['2013-12-14', 'feature', 0.0, 0], ['2013-12-14', 'bug', 0.0, 0], ['2013-12-14', 'chore', 0.0, 0], ['2013-12-14', 'release', 0.0, 0], ['2013-12-15', 'feature', 0.0, 0], ['2013-12-15', 'bug', 0.0, 0], ['2013-12-15', 'chore', 0.0, 0], ['2013-12-15', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 19, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 7}",15.294117647058824,1,5,13,"[62001564, 62208014, 62258414, 62202440, 61708894, 61575288, 61709144, 61577422, 58846872, 58846858, 59709584, 62181872, 62342136, 61997592, 61252764, 62417266, 62409566, 61155830, 61408126]",0.85,9
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2013-12-16', 'feature', 0.0, 0], ['2013-12-16', 'bug', 0.0, 0], ['2013-12-16', 'chore', 0.0, 0], ['2013-12-16', 'release', 0.0, 0], ['2013-12-17', 'feature', 0.0, 0], ['2013-12-17', 'bug', 0.0, 0], ['2013-12-17', 'chore', 0.0, 0], ['2013-12-17', 'release', 0.0, 0], ['2013-12-18', 'feature', 0.0, 0], ['2013-12-18', 'bug', 0.0, 1], ['2013-12-18', 'chore', 0.0, 1], ['2013-12-18', 'release', 0.0, 0], ['2013-12-19', 'feature', 0.0, 0], ['2013-12-19', 'bug', 0.0, 0], ['2013-12-19', 'chore', 0.0, 0], ['2013-12-19', 'release', 0.0, 0], ['2013-12-20', 'feature', 3.0, 2], ['2013-12-20', 'bug', 0.0, 1], ['2013-12-20', 'chore', 0.0, 0], ['2013-12-20', 'release', 0.0, 0], ['2013-12-21', 'feature', 0.0, 0], ['2013-12-21', 'bug', 0.0, 0], ['2013-12-21', 'chore', 0.0, 0], ['2013-12-21', 'release', 0.0, 0], ['2013-12-22', 'feature', 0.0, 0], ['2013-12-22', 'bug', 0.0, 0], ['2013-12-22', 'chore', 0.0, 0], ['2013-12-22', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 5, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 2}",3.75,1,6,3,"[62578118, 62492004, 60972862, 62729052, 58846902]",0.8,10
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2013-12-23', 'feature', 0.0, 0], ['2013-12-23', 'bug', 0.0, 0], ['2013-12-23', 'chore', 0.0, 0], ['2013-12-23', 'release', 0.0, 0], ['2013-12-24', 'feature', 0.0, 0], ['2013-12-24', 'bug', 0.0, 0], ['2013-12-24', 'chore', 0.0, 0], ['2013-12-24', 'release', 0.0, 0], ['2013-12-25', 'feature', 0.0, 0], ['2013-12-25', 'bug', 0.0, 0], ['2013-12-25', 'chore', 0.0, 0], ['2013-12-25', 'release', 0.0, 0], ['2013-12-26', 'feature', 11.0, 7], ['2013-12-26', 'bug', 0.0, 2], ['2013-12-26', 'chore', 0.0, 1], ['2013-12-26', 'release', 0.0, 0], ['2013-12-27', 'feature', 0.0, 0], ['2013-12-27', 'bug', 0.0, 0], ['2013-12-27', 'chore', 0.0, 3], ['2013-12-27', 'release', 0.0, 0], ['2013-12-28', 'feature', 0.0, 0], ['2013-12-28', 'bug', 0.0, 0], ['2013-12-28', 'chore', 0.0, 0], ['2013-12-28', 'release', 0.0, 0], ['2013-12-29', 'feature', 0.0, 0], ['2013-12-29', 'bug', 0.0, 0], ['2013-12-29', 'chore', 0.0, 0], ['2013-12-29', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 13, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 1}",44.0,1,7,11,"[58846912, 58847170, 62192238, 61155578, 58255776, 62749248, 62427108, 61520702, 62867494, 62807592, 62920930, 62920990, 63021050]",0.25,10
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2013-12-30', 'feature', 0.0, 0], ['2013-12-30', 'bug', 0.0, 0], ['2013-12-30', 'chore', 0.0, 0], ['2013-12-30', 'release', 0.0, 0], ['2013-12-31', 'feature', 0.0, 0], ['2013-12-31', 'bug', 0.0, 0], ['2013-12-31', 'chore', 0.0, 1], ['2013-12-31', 'release', 0.0, 0], ['2014-01-01', 'feature', 0.0, 0], ['2014-01-01', 'bug', 0.0, 0], ['2014-01-01', 'chore', 0.0, 0], ['2014-01-01', 'release', 0.0, 0], ['2014-01-02', 'feature', 3.0, 2], ['2014-01-02', 'bug', 0.0, 0], ['2014-01-02', 'chore', 0.0, 2], ['2014-01-02', 'release', 0.0, 0], ['2014-01-03', 'feature', 5.0, 3], ['2014-01-03', 'bug', 0.0, 0], ['2014-01-03', 'chore', 0.0, 0], ['2014-01-03', 'release', 0.0, 0], ['2014-01-04', 'feature', 0.0, 0], ['2014-01-04', 'bug', 0.0, 0], ['2014-01-04', 'chore', 0.0, 0], ['2014-01-04', 'release', 0.0, 0], ['2014-01-05', 'feature', 0.0, 0], ['2014-01-05', 'bug', 0.0, 0], ['2014-01-05', 'chore', 0.0, 0], ['2014-01-05', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 8, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 2}",16.0,1,8,8,"[63079696, 58847158, 62792078, 62938840, 61831052, 58847150, 58847144, 62328190]",0.5,21
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-01-06', 'feature', 2.0, 1], ['2014-01-06', 'bug', 0.0, 0], ['2014-01-06', 'chore', 0.0, 1], ['2014-01-06', 'release', 0.0, 0], ['2014-01-07', 'feature', 0.0, 0], ['2014-01-07', 'bug', 0.0, 0], ['2014-01-07', 'chore', 0.0, 0], ['2014-01-07', 'release', 0.0, 0], ['2014-01-08', 'feature', 0.0, 0], ['2014-01-08', 'bug', 0.0, 0], ['2014-01-08', 'chore', 0.0, 0], ['2014-01-08', 'release', 0.0, 0], ['2014-01-09', 'feature', 2.0, 2], ['2014-01-09', 'bug', 0.0, 0], ['2014-01-09', 'chore', 0.0, 1], ['2014-01-09', 'release', 0.0, 0], ['2014-01-10', 'feature', 1.0, 2], ['2014-01-10', 'bug', 0.0, 0], ['2014-01-10', 'chore', 0.0, 0], ['2014-01-10', 'release', 0.0, 0], ['2014-01-11', 'feature', 0.0, 0], ['2014-01-11', 'bug', 0.0, 0], ['2014-01-11', 'chore', 0.0, 0], ['2014-01-11', 'release', 0.0, 0], ['2014-01-12', 'feature', 0.0, 0], ['2014-01-12', 'bug', 0.0, 0], ['2014-01-12', 'chore', 0.0, 0], ['2014-01-12', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 7, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 2}",5.555555555555555,1,9,5,"[62412334, 61872478, 63182482, 63220956, 58847140, 63217652, 63572812]",0.9,21
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-01-13', 'feature', 5.0, 4], ['2014-01-13', 'bug', 0.0, 2], ['2014-01-13', 'chore', 0.0, 0], ['2014-01-13', 'release', 0.0, 1], ['2014-01-14', 'feature', 1.0, 3], ['2014-01-14', 'bug', 0.0, 0], ['2014-01-14', 'chore', 0.0, 1], ['2014-01-14', 'release', 0.0, 0], ['2014-01-15', 'feature', 0.0, 0], ['2014-01-15', 'bug', 0.0, 2], ['2014-01-15', 'chore', 0.0, 3], ['2014-01-15', 'release', 0.0, 0], ['2014-01-16', 'feature', 3.0, 2], ['2014-01-16', 'bug', 0.0, 1], ['2014-01-16', 'chore', 0.0, 1], ['2014-01-16', 'release', 0.0, 0], ['2014-01-17', 'feature', 1.0, 1], ['2014-01-17', 'bug', 0.0, 0], ['2014-01-17', 'chore', 0.0, 3], ['2014-01-17', 'release', 0.0, 0], ['2014-01-18', 'feature', 0.0, 0], ['2014-01-18', 'bug', 0.0, 0], ['2014-01-18', 'chore', 0.0, 0], ['2014-01-18', 'release', 0.0, 0], ['2014-01-19', 'feature', 0.0, 0], ['2014-01-19', 'bug', 0.0, 0], ['2014-01-19', 'chore', 0.0, 0], ['2014-01-19', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 23, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 1}",11.11111111111111,1,10,10,"[63343886, 63652524, 63652544, 58847130, 60733634, 62258438, 63553464, 63742270, 59881688, 60100820, 63343746, 63854098, 63565060, 63916864, 63918326, 62996410, 60427770, 60722770, 62192362, 59694234, 63353700, 63925962, 64012688, 60722778]",0.9,21
