accepted_at,created_at,current_state,deadline,description,estimate,id,kind,labels,name,owned_by_id,owner_ids,project_id,requested_by_id,story_type,updated_at,url
2013-11-15T18:41:07Z,2013-10-16T20:57:37Z,accepted,,"follow-on from #56532652

the new box is ready to go, just waiting on services to finish their deploy and give us the go ahead. 

AZ1: i-e7e1319f (block from pointing at jb-z1 until services is ready to let the old jb go)
",,59004602,story,"[{'name': 'production', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T20:34:18Z', 'id': 7034566, 'updated_at': '2013-11-14T20:34:18Z'}]",roll the 'old' prod jumpbox to the new instance,756869.0,[756869],956238,1338772,chore,2013-11-15T18:41:22Z,https://www.pivotaltracker.com/story/show/59004602
2013-11-15T21:35:47Z,2013-10-24T22:02:23Z,accepted,,"ci build was aborted and didnt have a chance to teardown_microbosh in the runner.rb. we should do something similar to what we do in aws (before test and tags) or use resource pools (or folders) to isolate bats from everything else.

error that might be seen if clean up was not done before:

** Execute spec:system:micro
I, [2013-10-24T12:57:01.888887 #9026]  INFO -- : CANDIDATE_BUILD_NUMBER is 1161. Using candidate build.
I, [2013-10-24T12:57:01.966151 #9026]  INFO -- : Downloading http://bosh-ci-pipeline.s3.amazonaws.com/1161/bosh-stemcell/vsphere/bosh-stemcell-1161-vsphere-esxi-ubuntu.tgz to /tmp/ci-artifacts/vsphere/ubuntu/deployments/bosh-stemcell-1161-vsphere-esxi-ubuntu.tgz
bosh -v -n -P 10 --config '/tmp/bosh_config20131024-9026-gbh6v8' micro deployment microbosh
WARNING! Your target has been changed to `https://172.16.69.6:25555'!
Deployment set to '/tmp/ci-artifacts/vsphere/ubuntu/deployments/microbosh/micro_bosh.yml'
bosh -v -n -P 10 --config '/tmp/bosh_config20131024-9026-gbh6v8' micro deploy /tmp/ci-artifacts/vsphere/ubuntu/deployments/bosh-stemcell-1161-vsphere-esxi-ubuntu.tgz
at depth 1 - 19: self signed certificate in certificate chain
at depth 0 - 20: unable to get local issuer certificate
at depth 1 - 19: self signed certificate in certificate chain
at depth 1 - 19: self signed certificate in certificate chain
at depth 1 - 19: self signed certificate in certificate chain
at depth 1 - 19: self signed certificate in certificate chain
at depth 1 - 19: self signed certificate in certificate chain
/var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/agent_client/lib/agent_client/base.rb:21:in `method_missing': {""message""=>""Unknown persistent disk: disk-6396dd2b-ec98-40d8-95b7-4dfbddd46c08"", ""backtrace""=>[""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/platform/linux/disk.rb:52:in `lookup_disk_by_cid'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/platform/linux/adapter.rb:24:in `lookup_disk_by_cid'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/message/mount_disk.rb:29:in `setup_disk'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/message/mount_disk.rb:20:in `mount'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/message/mount_disk.rb:8:in `process'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/handler.rb:265:in `process'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/handler.rb:250:in `process_long_running'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/handler.rb:177:in `block in process_in_thread'"", ""<internal:prelude>:10:in `synchronize'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/handler.rb:175:in `process_in_thread'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/bosh_agent-1.5.0.pre.1155/lib/bosh_agent/handler.rb:155:in `block in handle_message'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/eventmachine-0.12.10/lib/eventmachine.rb:1060:in `call'"", ""/var/vcap/bosh/lib/ruby/gems/1.9.1/gems/eventmachine-0.12.10/lib/eventmachine.rb:1060:in `block in spawn_threadpool'""]} (Bosh::Agent::HandlerError)
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/agent_client/lib/agent_client/base.rb:12:in `run_task'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:255:in `block in mount_disk'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:79:in `step'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:254:in `mount_disk'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:314:in `attach_disk'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:350:in `update_persistent_disk'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:138:in `block in create'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:79:in `step'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:137:in `create'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:98:in `block in create_deployment'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:92:in `with_lifecycle'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/deployer/instance_manager.rb:98:in `create_deployment'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli_plugin_micro/lib/bosh/cli/commands/micro.rb:182:in `perform'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli/lib/cli/command_handler.rb:57:in `run'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli/lib/cli/runner.rb:59:in `run'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli/lib/cli/runner.rb:18:in `run'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/bosh_cli/bin/bosh:7:in `<top (required)>'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/tmp/ruby/1.9.1/bin/bosh:23:in `load'
	from /var/lib/jenkins/jobs/bat_micro_vsphere_ubuntu/workspace/tmp/ruby/1.9.1/bin/bosh:23:in `<main>'",,59523646,story,"[{'name': 'ci', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T20:34:18Z', 'id': 7034568, 'updated_at': '2013-11-14T20:34:18Z'}]",vsphere microbosh bats should clean up before running tests,1068489.0,[1068489],956238,81882,chore,2013-11-15T21:35:48Z,https://www.pivotaltracker.com/story/show/59523646
2013-11-15T21:36:01Z,2013-10-29T19:00:55Z,accepted,,,,59778912,story,"[{'name': 'production', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T20:34:18Z', 'id': 7034566, 'updated_at': '2013-11-14T20:34:18Z'}]",Rebuild Jumpboxes in A1 & Prod,756869.0,[756869],956238,81882,chore,2013-11-15T21:36:03Z,https://www.pivotaltracker.com/story/show/59778912
2013-11-19T21:45:03Z,2013-11-19T01:45:09Z,accepted,,"Automation creates a release and uploads it. Seeing an issue with checksums going into the db, but failing before the blob is uploaded. 


+-------+-------+-------------------------+-------+------------------------------------------------+----------------------------------------------------------+
| 32628 | error | 2013-11-18 19:26:23 UTC | admin | create release                                 | `cloud_controller_ng/29' checksum mismatch, expected...  |
| 32627 | error | 2013-11-18 18:51:34 UTC | admin | create deployment                              | Can't find template `nats_stream_forwarder'              |
| 32626 | error | 2013-11-18 18:51:01 UTC | admin | create release                                 | `cloud_controller_ng/29' checksum mismatch, expected...  |
| 32625 | error | 2013-11-18 18:45:26 UTC | admin | create deployment                              | Can't find template `nats_stream_forwarder'              |
| 32624 | error | 2013-11-18 18:44:50 UTC | admin | create release                                 | `buildpack_cache/5' checksum mismatch, expected...       |
| 32623 | error | 2013-11-18 18:40:46 UTC | admin | create deployment                              | Can't find template `nats_stream_forwarder'              |
| 32622 | error | 2013-11-18 18:40:14 UTC | admin | create release                                 | `buildpack_cache/5' checksum mismatch, expected...       |
| 32621 | error | 2013-11-18 18:31:23 UTC | admin | create deployment                              | Can't find template `nats_stream_forwarder'              |
| 32620 | error | 2013-11-18 18:22:33 UTC | admin | create release                                 | `buildpack_cache/5' checksum mismatch, expected...       |",,61008990,story,[],Investigate AWS bosh partial release upload,1068489.0,[1068489],956238,1068489,chore,2013-11-19T21:45:15Z,https://www.pivotaltracker.com/story/show/61008990
2013-11-20T07:23:56Z,2013-11-19T04:57:12Z,accepted,,"see details: https://groups.google.com/a/cloudfoundry.org/d/msg/bosh-users/_wgYmTzYTtc/eYWbu8rmrgMJ

see if there is any troubleshooting steps we can advise or ask for more information that would help.",0.0,61014318,story,[],review and advise on bosh director template error on vsphere from bosh-users,1068489.0,[1068489],956238,494053,feature,2013-11-20T07:23:56Z,https://www.pivotaltracker.com/story/show/61014318
2013-11-20T07:24:42Z,2013-11-18T15:25:33Z,accepted,,"Since these have been combined with the regular bosh stemcells. E.g.

http://docs.cloudfoundry.com/docs/running/deploying-cf/vsphere/deploying_bosh_with_micro_bosh.html",1.0,60955736,story,[],Docs at cloudfoundry.org should no longer refer to microbosh stemcells,1068489.0,[1068489],956238,5637,feature,2013-11-20T07:24:42Z,https://www.pivotaltracker.com/story/show/60955736
2013-11-20T19:28:11Z,2013-11-04T22:31:25Z,accepted,,,,60125634,story,[],Setup local vSphere environment for embarcadero to iterate on BATs,506755.0,[506755],956238,5637,chore,2013-11-20T19:28:11Z,https://www.pivotaltracker.com/story/show/60125634
2013-11-20T23:42:43Z,2013-11-15T17:29:56Z,accepted,,change --points-at to --contains to be backwards compatible with slightly older Git,1.0,60860812,story,[],GitPromoter should not promote the same commit twice,1338772.0,[1338772],956238,1338772,feature,2013-11-20T23:42:44Z,https://www.pivotaltracker.com/story/show/60860812
2013-11-21T00:56:29Z,2013-10-07T21:20:17Z,accepted,,"acceptance is running ""bosh public stemcells --all"" and seeing them all.",2.0,58381628,story,"[{'name': 'release', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T20:34:18Z', 'id': 7034564, 'updated_at': '2013-11-14T20:34:18Z'}]","Publish CI promoted stemcells as ""public stemcells""",5637.0,[5637],956238,14062,feature,2013-11-21T00:56:29Z,https://www.pivotaltracker.com/story/show/58381628
2013-11-21T01:27:25Z,2013-11-08T23:59:39Z,accepted,,,,60449810,story,"[{'name': 'release', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T20:34:18Z', 'id': 7034564, 'updated_at': '2013-11-14T20:34:18Z'}]",Tell community about published stemcells,494053.0,[494053],956238,14062,chore,2013-11-21T01:36:18Z,https://www.pivotaltracker.com/story/show/60449810
